iteration,technology_mode,source_year,destination_year,mean_harmony_before,mean_harmony_after,gain,cv_before,cv_after,destination_harmony_before,destination_harmony_after,current_worst_fulfillment,desired_worst_fulfillment,step,capital_at_destination_gap_real_musd,investment_at_source_real_musd,top_capital_sources,top_capacity_destinations
56,frozen,2019,2023,0.40179513028954233,0.4028988744977471,0.0011037442082047488,0.13982309927840833,0.13838798836045996,0.33561760848483846,0.3369274946305158,0.555673019104838,0.5589437672235357,0.0032707481186976567,8756.568012360962,15613.495013573156,23:3932.526; 5412OP:2385.540; 334:2334.141; 5415:2171.619; 3361MV:1356.580,GFGN:5487.207; 514:2505.353; 524:1742.085; 511:1709.867; 561:1305.650
57,frozen,2019,2023,0.4028988744977471,0.4039984141299894,0.0010995396322422968,0.13838798836045996,0.1369741668582743,0.3369274946305158,0.3382331382988578,0.5589437672235354,0.5622168072489051,0.0032730400253696396,8762.703989796379,15624.435835703123,23:3935.282; 5412OP:2387.211; 334:2335.776; 5415:2173.141; 3361MV:1357.531,GFGN:5491.052; 514:2507.109; 524:1743.306; 511:1711.065; 561:1306.565
58,frozen,2019,2023,0.4039984141299894,0.4050808069073513,0.0010823927773619402,0.1369741668582743,0.1355585459391558,0.3382331382988578,0.33953453983256576,0.5622168072489047,0.5654920905646449,0.003275283315740239,8768.70980986805,15635.144579312204,23:3937.979; 5412OP:2388.847; 334:2337.377; 5415:2174.630; 3361MV:1358.461,GFGN:5494.815; 514:2508.827; 524:1744.501; 511:1712.237; 561:1307.460
59,frozen,2019,2023,0.4050808069073513,0.40588654185655776,0.0008057349492064381,0.1355585459391558,0.13367969436836555,0.33953453983256576,0.3408314158430901,0.5654920905646446,0.5687688497881355,0.0032767592234908844,9451.595887399873,16711.58872355658,23:4239.740; 334:2625.365; 5412OP:2400.676; 5415:2289.736; 3361MV:1397.774,GFGN:5497.291; 514:2509.958; 524:1745.287; 511:1713.009; 561:1308.049
60,frozen,2019,2023,0.40588654185655776,0.4066854861749132,0.0007989443183554212,0.13367969436836555,0.13182895518011986,0.3408314158430901,0.34211780460726615,0.568768849788135,0.5720318739487043,0.003263024160569198,11868.331587833634,20510.57289750278,23:5307.304; 334:3652.477; 5415:2693.042; 5412OP:2429.513; 3361MV:1531.932,GFGN:5474.249; 521CI:4933.950; 514:2499.437; 524:1737.971; 511:1705.829
61,frozen,2019,2023,0.4066854861749132,0.40747770170543196,0.0007922155305187806,0.13182895518011986,0.13000598039832031,0.34211780460726615,0.3433937943291474,0.5720318739487037,0.575281151015217,0.0032492770665133253,12168.623009880932,20899.503911778873,23:5368.018; 334:3745.787; 5415:2700.494; 5412OP:2434.316; 3361MV:1542.815,GFGN:5451.186; 521CI:4913.163; 514:2488.907; 524:1730.649; 511:1698.642
62,frozen,2019,2023,0.40747770170543196,0.4082632494625031,0.0007855477570711256,0.13000598039832031,0.12821043065538842,0.3433937943291474,0.3446594724848796,0.5752811510152167,0.5785166700599339,0.003235519044717212,13346.035888679446,22478.661028229115,23:5636.740; 334:4111.272; 5415:2755.007; 5412OP:2476.767; 3361MV:1597.109,GFGN:5428.104; 521CI:4892.360; 514:2478.368; 621:2140.979; 524:1723.321
63,frozen,2019,2023,0.4082632494625031,0.40904219002560094,0.0007789405630978519,0.12821043065538842,0.1264419764361579,0.3446594724848796,0.34591492582216554,0.5785166700599333,0.5817384212331518,0.0032217511732184085,13289.24546198277,22383.009198576336,23:5612.755; 334:4093.777; 5415:2743.284; 5412OP:2466.227; 3361MV:1590.313,GFGN:5405.006; 521CI:4871.542; 514:2467.822; 621:2131.868; 524:1715.988
64,frozen,2020,2023,0.40904219002560094,0.4098083144970187,0.0007661244714177728,0.1264419764361579,0.12468996230751743,0.34591492582216554,0.34716024036834986,0.5817384212331514,0.5849463957597344,0.0032079745265829124,13232.4188391504,18747.7191590847,23:4801.335; 334:3382.251; 5415:2177.707; 5412OP:2156.053; 3361MV:1316.823,GFGN:4745.336; 521CI:4176.378; 621:1921.437; 514:1832.094; 524:1429.674
65,frozen,2020,2023,0.4098083144970187,0.4105678933492191,0.0007595788522004043,0.12468996230751743,0.12296492214190367,0.34716024036834986,0.34839536498004153,0.584946395759734,0.5881402324068913,0.0031938366471572894,13174.10218466731,18665.095998962883,23:4780.175; 334:3367.345; 5415:2168.110; 5412OP:2146.551; 3361MV:1311.019,GFGN:4724.423; 521CI:4157.973; 621:1912.969; 514:1824.020; 524:1423.373
66,frozen,2020,2023,0.4105678933492191,0.41132080339504684,0.000752910045827726,0.12296492214190367,0.12126625820073067,0.34839536498004153,0.34962038626171316,0.588140232406891,0.5913199257236267,0.0031796933167356784,13456.854930233603,19040.889437074085,23:4766.721; 334:3368.014; 5415:2160.971; 5412OP:2137.749; 3361MV:1660.252,GFGN:4703.502; 521CI:4139.560; 621:1904.497; 514:1815.942; 524:1417.070
67,frozen,2020,2023,0.41132080339504684,0.4120665991768818,0.0007457957818349792,0.12126625820073067,0.11959290050399765,0.34962038626171316,0.3508353861078681,0.5913199257236262,0.5944854609447046,0.0031655352210782856,14674.4811197479,20673.205805416128,23:4774.393; 334:3411.374; 3361MV:2982.639; 5415:2160.573; 5412OP:2130.866,GFGN:4682.559; 521CI:4121.128; 532RL:2173.506; 621:1896.017; 514:1807.857
68,frozen,2020,2023,0.4120665991768818,0.41280602005096406,0.0007394208740822417,0.11959290050399765,0.11794570402097561,0.3508353861078681,0.35204043483505776,0.5944854609447041,0.5976367957775085,0.003151334832804422,14608.652337230476,20580.467128130178,23:4752.975; 334:3396.071; 3361MV:2969.259; 5415:2150.881; 5412OP:2121.307,GFGN:4661.553; 521CI:4102.641; 532RL:2163.756; 621:1887.512; 514:1799.747
69,frozen,2020,2023,0.41280602005096406,0.413539124572913,0.000733104521948913,0.11794570402097561,0.11632439022999579,0.35204043483505776,0.35323561715137336,0.5976367957775082,0.6007739281423173,0.0031371323648091537,14542.813913743848,20487.71486878034,23:4731.554; 334:3380.765; 3361MV:2955.877; 5415:2141.188; 5412OP:2111.746,GFGN:4640.545; 521CI:4084.151; 532RL:2154.004; 621:1879.005; 514:1791.635
